City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Cabedelo,BR,84.87,-6.9811,-34.8339,Hotel Pigalle
1,Bambous Virieux,MU,75.22,-20.3428,57.7575,Casa Tia Villa
6,Road Town,VG,80.64,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
13,Rikitea,PF,74.14,-23.1203,-134.9692,People ThankYou
15,Bonthe,SL,76.46,7.5264,-12.505,Bonthe Holiday Village
19,Saint-Philippe,RE,74.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
30,Dusi,IN,78.12,12.7667,79.6833,HOTEL RAHMANIA
32,Hilo,US,75.25,19.7297,-155.09,Hilo Hawaiian Hotel
33,Pitimbu,BR,84.79,-7.4706,-34.8086,Reserva do Abiaí
34,Atuona,PF,79.25,-9.8,-139.0333,Villa Enata
35,Guarapari,BR,83.89,-20.6667,-40.4975,Hotel Porto do Sol
40,Axim,GH,81.19,4.8699,-2.2405,Axim Beach Resort And Spa
43,Viedma,AR,79.65,-40.8135,-62.9967,Hotel Cristal
49,Roebourne,AU,80.6,-20.7833,117.1333,Latitude20 Roebourne Village
52,Puerto Colombia,CO,84.29,10.9878,-74.9547,Hotel El Emigrante
53,Ambon,ID,77.14,-3.6954,128.1814,Swiss-Belhotel Ambon
58,Kapaa,US,75.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Butaritari,KI,81.37,3.0707,172.7902,Isles Sunset Lodge
60,Busselton,AU,70.63,-33.65,115.3333,Observatory Guest House
61,Yenagoa,NG,79.75,4.9247,6.2642,Aridolf Resort Wellness and Spa
65,Hithadhoo,MV,83.17,-0.6,73.0833,Scoop Guest House
67,Laguna,US,74.97,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
68,Hualmay,PE,74.41,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
69,Camana,PE,72.3,-16.6228,-72.7111,Hostal Morales
70,Vaini,TO,73.56,-21.2,-175.2,Keleti Beach Resort
75,Poum,NC,81.27,-20.2333,164.0167,
84,Bowen,AU,77.99,-20.0167,148.2333,Castle Motor Lodge Motel
87,Narasannapeta,IN,78.75,18.4167,84.05,AVK events and catering
88,Erenas,PH,79.36,12.4245,124.3238,Green Yard Hotel and Resort
89,Sabak,MY,75.51,3.7675,100.9875,Homestay Nur Kasih Inap Desa
91,Wattegama,LK,74.79,6.7989,81.4808,
95,Cabo San Lucas,MX,78.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
96,Manakara,MG,72.14,-22.1333,48.0167,La Residence Manakara
98,Port Hedland,AU,82.45,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
100,Pisco,PE,73.45,-13.7,-76.2167,Hotel San Isidro Oficial
101,Moerai,PF,79.95,-22.4333,-151.3333,Le Manotel
105,Tura,IN,70.5,25.5198,90.2201,Hotel RIKMAN Continental
106,Georgetown,MY,78.73,5.4112,100.3354,Cititel Penang
107,Kanbe,MM,77.05,16.7053,96.0017,CBT Mingalar Bar Bio Garden
110,Chuy,UY,70.48,-33.6971,-53.4616,Nuevo Hotel Plaza
111,Mossendjo,CG,70.93,-2.9506,12.7261,HOTEL D'ASSISE
120,Kavieng,PG,77.09,-2.5744,150.7967,Nusa Island Retreat
121,Uvira,CD,73.72,-3.4067,29.1458,Hotel Suzana
122,Maumere,ID,78.64,-8.6199,122.2111,Sylvia Hotel
125,San Isidro,PE,71.19,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
128,Geraldton,AU,73.81,-28.7667,114.6,Broadwater Mariner Resort
131,Salalah,OM,80.69,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
133,Vista Hermosa,MX,80.55,19.5167,-99.2167,Krystal Satélite María Bárbara
143,Arraial Do Cabo,BR,80.46,-22.9661,-42.0278,Pousada Porto Praia
145,Chimbote,PE,75.04,-9.0853,-78.5783,Hotel Briliá
154,Araguaina,BR,83.07,-7.1911,-48.2072,Hotel São Vicente
156,Alofi,NU,78.69,-19.0595,-169.9187,Taloa Heights
158,Carnarvon,AU,77.07,-24.8667,113.6333,Hospitality Carnarvon
161,Mahebourg,MU,75.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Takoradi,GH,82.06,4.8845,-1.7554,Raybow International Hotel
164,Amuntai,ID,73.71,-2.4177,115.2494,Hotel Balqis
171,Faanui,PF,80.92,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Sola,VU,79.88,-13.8833,167.55,Leumerus Bungalows
178,Iguape,BR,71.58,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
183,Saint George,US,79.63,37.1041,-113.5841,Best Western Plus Abbey Inn
185,Port Moresby,PG,75.18,-9.4431,147.1797,Lamana Hotel (Port Moresby)
194,Buala,SB,79.3,-8.145,159.5921,Maringe Lagoon Lodge
196,Kalemie,CD,74.17,-5.9475,29.1947,Mahobilali
199,Grand Gaube,MU,75.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
202,Cockburn Town,TC,78.13,21.4612,-71.1419,Osprey Beach Hotel
212,Omboue,GA,75.52,-1.5746,9.2618,Hotel Olako
215,Mount Isa,AU,74.97,-20.7333,139.5,ibis Styles Mt Isa Verona
218,Bubaque,GW,75.31,11.2833,-15.8333,"Casa Dora, Bubaque"
222,Prainha,BR,83.1,-1.8,-53.48,Casa Rocha
228,Iranshahr,IR,79.14,27.2025,60.6848,نیک سرشت
231,Teahupoo,PF,78.76,-17.8333,-149.2667,Vanira Lodge
234,Jalu,LY,78.51,29.0331,21.5482,صاحبة الفخامة
236,Umm Kaddadah,SD,83.01,13.6017,26.6876,
237,Gouyave,GD,83.17,12.1646,-61.7296,Rumboat Retreat
238,Anloga,GH,83.28,5.7947,0.8973,Pin Drop Hotel
239,Kloulklubed,PW,75.7,7.0419,134.2556,Storyboard Beach Resort
244,Karratha,AU,81.16,-20.7377,116.8463,ibis Styles Karratha
245,Keti Bandar,PK,79.25,24.1447,67.4497,Haji laloo memon house
246,Caravelas,BR,82.9,-17.7125,-39.2481,Pousada dos Navegantes
250,Denpasar,ID,78.46,-8.65,115.2167,OYO 3156 Hotel Warta 2
251,Turayf,SA,77.25,31.6725,38.6637,Turaif
252,Paungde,MM,81.03,18.4833,95.5,Shwe Eain Matt highly cool guest house
257,Humaita,BR,71.73,-7.5061,-63.0208,Corrêa Hotel
260,San Cristobal,VE,82.58,7.7669,-72.225,Pirineos
264,Tiarei,PF,84.22,-17.5333,-149.3333,Le Rocher de Tahiti
266,Tabou,CI,79.41,4.423,-7.3528,hotêl doufoulougou
271,Kailua,US,79.65,21.4022,-157.7394,Sheffield House Bed & Breakfast
272,Ambilobe,MG,73.35,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
274,Manhumirim,BR,75.69,-20.3578,-41.9581,Palace Hotel de Manhumirim
275,Comodoro Rivadavia,AR,75.06,-45.8667,-67.5,Austral Hotel
276,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
280,Benguela,AO,76.82,-12.5763,13.4055,Hotel Praia Morena
285,Miranda,CO,82.65,3.2499,-76.2281,unidiversidad organica la utopia
287,Santa Isabel Do Rio Negro,BR,79.86,-0.4139,-65.0192,Hotel GSA
289,Rustenburg,ZA,70.16,-25.6676,27.2421,Rustenburg Boutique Hotel
295,Touros,BR,82.89,-5.1989,-35.4608,INN NEW HORIZON
298,Vao,NC,78.93,-22.6667,167.4833,Hotel Kou-Bugny
300,Kalmunai,LK,78.8,7.4167,81.8167,VS Villa
301,Belmonte,BR,81.73,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Mapiripan,CO,84.07,2.8892,-72.1256,Monserrate
305,Sucua,EC,77.74,-2.4667,-78.1667,Hotel Orellana
308,Basoko,CD,71.38,1.2391,23.616,Jackyna Hotel
311,Dingle,PH,75.6,10.9995,122.6711,SEGAYA PROPERTY
313,Lorengau,PG,78.31,-2.0226,147.2712,Lorengau Harbourside Hotel
317,Manta,EC,83.98,-0.95,-80.7333,Balandra Hotel
318,Chino Valley,US,72.77,34.7575,-112.4538,Primrose Inn & Suites
319,Jagdalpur,IN,77.41,19.0667,82.0333,Hotel Devansh Residency
327,Mocuba,MZ,71.78,-16.8392,36.9856,Phama Lodge
328,Mala,PE,73.85,-12.6581,-76.6308,Hotel Granda
330,Sao Jose Da Coroa Grande,BR,82.24,-8.8978,-35.1478,Crôa Mares Hotel
332,Sur,OM,82.9,22.5667,59.5289,Sur Plaza Hotel
334,Saint-Joseph,RE,75.58,-21.3667,55.6167,"""Plantation Bed and Breakfast"
341,Souillac,MU,73.78,-20.5167,57.5167,Shanti Maurice Resort & Spa
345,Phatthalung,TH,76.28,7.5,100.0833,Ozone Resort & Pool Villa
346,Buraydah,SA,81.05,26.326,43.975,Mövenpick Qassim
347,Salinopolis,BR,81.63,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
349,Bucerias,MX,76.98,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
354,Lompoc,US,71.69,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
355,Angoche,MZ,78.6,-16.2325,39.9086,Guest House HESADA
372,Cayenne,GF,80.1,4.9333,-52.3333,Hôtel Le Dronmi
378,Soyo,AO,78.64,-6.1349,12.3689,Hotel Mpampa
379,Mulege,MX,80.19,26.8833,-111.9833,Casa Granada
386,Marsh Harbour,BS,78.6,26.5412,-77.0636,Abaco Beach Resort
387,Tres Arroyos,AR,70.7,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
388,Port Blair,IN,81.84,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
391,Kahului,US,78.82,20.8947,-156.47,Maui Seaside Hotel
393,Langsa,ID,73.81,4.4683,97.9683,OYO 2964 Hotel Ridho
394,Tabas,IR,73.22,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
395,Ewa Beach,US,79.59,21.3156,-158.0072,Base Lodging
397,Banjar,ID,75.88,-8.19,114.9675,The Hamsa Resort
400,San Francisco Del Mar,MX,83.37,16.2333,-94.65,
402,Payo,ID,73.74,-3.7508,103.6372,Mess keban agung
403,Grand-Santi,GF,79.83,4.25,-54.3833,Hotel La Villa Couacou
404,Sambava,MG,76.66,-14.2667,50.1667,Melrose
406,Le Port,RE,77.0,-20.9373,55.2919,KORBEY D'OR OUEST
407,Bengkulu,ID,76.05,-3.8004,102.2655,Grage Hotel Bengkulu
408,Soc Trang,VN,79.81,9.6033,105.98,Phu Quy Hotel
409,Qui Nhon,VN,72.59,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
412,Pucallpa,PE,77.04,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
413,Agboville,CI,79.79,5.928,-4.2132,hotel LE PRESTIGE
416,Sakaraha,MG,71.76,-22.9,44.5333,Le Relais
417,Bage,BR,73.99,-31.3314,-54.1069,Hotel Obino - Bagé
419,Muisne,EC,81.5,0.6,-80.0333,Quinta Samay
420,Nsanje,MW,72.79,-16.92,35.262,Nsanje Discovery Lodge
422,Namatanai,PG,77.11,-3.6667,152.4333,Seagulls Inn Namatani
423,Kochinda,IN,78.33,21.7333,84.35,Shristi Lodge
424,Vangaindrano,MG,70.93,-23.35,47.6,Hotel Fanilo
430,Gat,IL,72.39,31.61,34.7642,OlusHome
432,Naifaru,MV,82.2,5.4444,73.3657,Naifaru Residence Guest House
433,Atraulia,IN,77.9,26.3333,82.95,ShivKunj
438,Tevaitoa,PF,82.09,-16.7833,-151.5,Hôtel Raiatea Lodge
439,Nacala,MZ,75.02,-14.5428,40.6728,Nacala Plaza Business Design Hotel
443,Alangayam,IN,73.53,12.6,78.75,Vinoth Lodge
444,Lae,PG,75.43,-6.7221,146.9847,Phils Hotel
449,Tubuala,PA,80.69,9.5167,-79.0333,Río Nabagana
450,Muscat,OM,80.62,23.6139,58.5922,Mutrah Hotel
451,Contamana,PE,82.22,-7.3333,-75.0167,Shiringal Touristic Park
452,Beloha,MG,71.83,-25.1667,45.05,
455,Ambulu,ID,74.84,-8.345,113.6058,Hotel Ambulu Jember
460,Padang,ID,76.19,-0.9492,100.3543,Mercure Padang
464,Merritt Island,US,81.09,28.5392,-80.672,
471,Praia,CV,73.94,14.9215,-23.5087,LT Aparthotel
473,Sao Filipe,CV,71.56,14.8961,-24.4956,Hotel Xaguate
475,Davila,PH,77.18,18.4726,120.5763,Blue Ridge Beach Resort
483,Thinadhoo,MV,82.87,0.5333,72.9333,
486,Funtua,NG,82.63,11.5233,7.3081,Sani Jikan Mallam Hotel
489,Namibe,AO,71.29,-15.1961,12.1522,Hotel Chik Chik Namibe
493,Richards Bay,ZA,72.57,-28.783,32.0377,BON Hotel Waterfront Richards Bay
498,Minas,UY,70.45,-34.3759,-55.2377,Hotel Minas
504,Lajedo,BR,76.26,-8.6636,-36.32,Pousada Correia
505,Abengourou,CI,75.42,6.7297,-3.4964,Hotel des Princes
507,Port-Gentil,GA,80.2,-0.7193,8.7815,Fengshui Residence
510,Kawalu,ID,72.64,-7.3817,108.2082,West Jontor
515,Port Keats,AU,77.88,-14.25,129.55,TDC Village (Hundred Man Camp)
516,Wagar,SD,84.74,16.1525,36.2032,
517,Acatlan,MX,80.42,20.15,-98.45,Rancho La Laja
519,Tadine,NC,79.81,-21.55,167.8833,
521,Akyab,MM,79.2,20.15,92.9,Hotel Memory
522,Harper,LR,79.83,4.375,-7.7169,Screensaver
523,Isangel,VU,81.0,-19.55,169.2667,Tanna Lodge
524,Camocim,BR,78.96,-2.9022,-40.8411,Ilha Praia Hotel
530,Gigmoto,PH,77.81,13.7796,124.39,Cj's Travellers Inn
532,Gizo,SB,80.46,-8.103,156.8419,Imagination Island
541,San Policarpo,PH,79.52,12.1791,125.5072,Agapita M. Nicart
543,Sao Joao Dos Patos,BR,73.78,-6.495,-43.7022,Montesino Hotel & Restaurante
545,Morro Bay,US,77.58,35.3658,-120.8499,Inn at Morro Bay
550,Carnot,CF,78.75,4.9409,15.8665,
551,Ahuimanu,US,78.51,21.4447,-157.8378,Paradise Bay Resort
554,Lamu,KE,84.42,-2.2717,40.902,Lamu House
555,Hambantota,LK,79.0,6.1241,81.1185,Bungalow 63
565,Jesup,US,73.33,31.6074,-81.8854,Western Motel
572,Karaton,ID,74.14,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
573,Dharan,NP,73.33,26.8125,87.2835,Hotel Kanchanjunga
577,Maragogi,BR,80.11,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
578,Djambala,CG,70.14,-2.5447,14.7533,Hotel Ravin D'or
580,Poya,NC,78.8,-21.35,165.15,
582,Dwarka,IN,78.42,22.2394,68.9678,Hotel Narayan Avezika Comfort
584,Bandarbeyla,SO,79.07,9.4942,50.8122,JABIR HOTEL
585,Kanniyakumari,IN,81.27,8.0833,77.5667,Sparsa Kanyakumari
586,Beruwala,LK,78.35,6.4788,79.9828,The Palms Hotel
588,Kudahuvadhoo,MV,82.47,2.6708,72.8944,Niyama Private Islands Maldives
589,Mackay,AU,71.69,-21.15,149.2,International Lodge Motel
592,Tautira,PF,81.95,-17.7333,-149.15,Pension Oaoa
594,Negombo,LK,80.65,7.2083,79.8358,Hotel Sunset Beach
596,Corumba,BR,80.31,-19.0092,-57.6533,Hotel Laura Vicunha
597,Isiro,CD,72.52,2.7739,27.616,Guest House Hewa Bora
599,Sao Joao Da Barra,BR,84.29,-21.6403,-41.0511,Pousada Porto De Canoas
608,Hatillo,PR,84.78,18.4863,-66.8254,El Buen Hotel
609,Sabang,ID,81.59,5.8933,95.3214,Hotel Citra
611,Guiglo,CI,75.4,6.5456,-7.4966,Hotel GBAOLY 2
620,Kapit,MY,72.37,2.0167,112.9333,Hotel Meligai Kapit
625,Iracoubo,GF,78.55,5.4802,-53.2011,Le Gîte d’Iracoubo
627,Fare,PF,81.63,-16.7,-151.0167,Maitai Lapita Village Huahine
633,Praya,CV,73.94,14.9215,-23.5087,LT Aparthotel
635,Daru,PG,77.14,-9.0763,143.2092,Daru Lodge
637,Mapiri,BO,77.94,-15.25,-68.1667,
638,Maceio,BR,83.64,-9.6658,-35.7353,Hotel Ponta Verde Maceió
646,Brokopondo,SR,78.01,4.75,-55.1667,Matu Island
649,Boda,CF,79.38,4.3189,17.4695,
